Toast Cafe,Kosher Restaurant,Foursquare,"15001 Ventura Blvd (Lemona), Sherman Oaks, CA 91403",
Hummus Bar & Grill,Mediterranean Restaurant,Foursquare,"18743 Ventura Blvd, Tarzana, CA 91356",
Cohen Restaurant,American Restaurant,Foursquare,"316 E Pico Blvd, Los Angeles, CA 90015",
Holy Grill Food Truck,Kosher Restaurant,Foursquare,"120 E 15th St, Los Angeles, CA 90015",
Lenny's Casita,Kosher Restaurant,Foursquare,"4817 W Pico Blvd, Los Angeles, CA 90019",
Abba's on La Brea,Kosher Restaurant,Foursquare,"129 N La Brea Ave (1st), Los Angeles, CA 90036",
Mensch Bakery,Bakery,Foursquare,"7122 Beverly Blvd, Los Angeles, CA 90036",
Mamilla,Kosher Restaurant,Foursquare,"8657 W Pico Blvd, Los Angeles, CA 90035",
Shalom Pizza,Pizzeria,Foursquare,"8715 W Pico Blvd (Pico and Shenandoah), Los Angeles, CA 90035",
Lieders Pico,Deli,Foursquare,"8721 W Pico Blvd (Wooster/Shenandoah), Los Angeles, CA 90035",
The Difference,Kosher Restaurant,Foursquare,"8837 W Pico Blvd (Clark), Los Angeles, CA 90035",
Schwartz's Marketplace,American Restaurant,Foursquare,"8856 W Pico Blvd (Robertson), Los Angeles, CA 90035",
Holy Grill,Burger Joint,Foursquare,"8975 W Pico Blvd (Crest St), Los Angeles, CA 90035",
Kolah Farangi,Chinese Restaurant,Foursquare,"9180 W Pico Blvd, Los Angeles, CA 90035",
Capers,Kosher Restaurant,Foursquare,"9303 W Pico Blvd, Los Angeles, CA 90035",
Black Tie Catering,Kosher Restaurant,Foursquare,"9303 W Pico Blvd, Los Angeles, CA 90035",
"Shalom Grill - Burgers, Kabob, Shawarma",Burger Joint,Foursquare,"9340 W Pico Blvd (Rexford Dr.), Los Angeles, CA 90035",
Menahem kosher food,Kosher Restaurant,Foursquare,"12435 Chandler Blvd, Valley Village, CA 91607",
Hayaty Cafe & Hookah Lounge,Kosher Restaurant,Foursquare,"12519 Burbank Blvd, North Hollywood, CA 91607",
Sedona Farms,Kosher Restaurant,Foursquare,"12136 Santa Monica Blvd, Los Angeles, CA 90025",
American Jewish Universitys Elegant Affairs Kosher Catering,Kosher Restaurant,Foursquare,"15600 Mulholland Dr, Los Angeles, CA 90077",
Tel Aviv Authentic Chef Kitchen,Kosher Restaurant,Foursquare,"17630 Ventura Blvd, Encino, CA 91316",
Aris Kosher Bar,Kosher Restaurant,Foursquare,"17840 Ventura Blvd, Encino, CA 91316",
Spinachi,Pizzeria,Foursquare,"17932 Ventura Blvd, Los Angeles, CA 91316",
Pistachio,Deli,Foursquare,"17940 Ventura Blvd, Encino, CA 91316",
Mega Kosher Market,Kosher Restaurant,Foursquare,"19826 Ventura Blvd, Woodland Hills, CA 91364",
Pacific Kosher Express,Pizzeria,Foursquare,"19907 Ventura Blvd, Los Angeles, CA 91364",
Kosher Buffet,Kosher Restaurant,Foursquare,"7147 Winnetka Ave, Winnetka, CA 91306",
The Kosher Stop Kosher Food,Kosher Restaurant,Foursquare,"1600 Naud St, Los Angeles, CA 90012",
Next Door,Cocktail Bar,Foursquare,"7475 Beverly Blvd, Los Angeles, CA 90036",
Pat's Restaurant and Catering,Bakery,Foursquare,"9233 W Pico Blvd, Los Angeles, CA 90035",
The Original Philippe,Sandwich Spot,Foursquare,"1001 N Alameda St (at Ord St), Los Angeles, CA 90012",
Tel Aviv Grill,Falafel Restaurant,Foursquare,"12450 Burbank Blvd (Burbank & Whitsett), Valley Village, CA 91607",
Dodger Stadium,Stadium,Foursquare,"1000 Vin Scully Ave (at Stadium Way), Los Angeles, CA 90012",
Eliass Kosher Kabob,Kosher Restaurant,Foursquare,"8829 W Pico Blvd, Los Angeles, CA 90035",
The Beverly Hills Bagel Company,Kosher Restaurant,Foursquare,"8947 W Pico Blvd, Los Angeles, CA 90035",
Freedman's,Cocktail Bar,Foursquare,"2619 W Sunset Blvd, Los Angeles, CA 90026",
PSY Street Kitchen,Burger Joint,Foursquare,"15030 Ventura Blvd (Ventura & Noble), Sherman Oaks, CA 91403",
Canter's Deli,Bakery,Foursquare,"419 N Fairfax Ave (btwn Rosewood & Oakwood Ave), Los Angeles, CA 90036",
In-N-Out Burger,Burger Joint,Foursquare,"7009 W Sunset Blvd, Hollywood, CA 90028",
Salateam,American Restaurant,Foursquare,"6027 Reseda Blvd, Tarzana, CA 91356",
Kosher Eats,Buffet,Foursquare,"7147 Winnetka Ave, Winnetka, CA 91306",
Swingers,Diner,Foursquare,"8020 Beverly Blvd, Los Angeles, CA 90048",
King David Glatt Kosher Grill,Kosher Restaurant,Foursquare,"17932 Ventura Blvd, Encino, CA 91316",
